epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
26,2020-06-22,66,MS,Selvíria,5007802,city,2,30.63256,1,0,0,0.0,6529,True,False
26,2020-06-22,96,MS,Sidrolândia,5007901,city,11,19.0757,0,1,0,0.0909,57665,True,False
26,2020-06-22,77,MS,Sonora,5007935,city,29,150.46176,2,0,0,0.0,19274,True,False
26,2020-06-22,41,MS,Tacuru,5007950,city,4,34.62604,0,0,0,0.0,11552,True,False
26,2020-06-22,31,MS,Taquarussu,5007976,city,1,27.87068,0,0,0,0.0,3588,True,False
26,2020-06-22,17,MS,Terenos,5008008,city,3,13.75768,1,0,0,0.0,21806,True,False
26,2020-06-22,83,MS,Três Lagoas,5008305,city,219,180.41322,4,5,0,0.0228,121388,True,False
26,2020-06-22,42,MS,Vicentina,5008404,city,63,1032.44838,8,2,1,0.0317,6102,True,False
26,2020-06-22,101,MS,,50,state,5784,208.13347,393,55,8,0.0095,2778986,True,False
26,2020-06-21,27,MS,Água Clara,5000203,city,6,38.65481,0,0,0,0.0,15522,False,False
26,2020-06-21,83,MS,Alcinópolis,5000252,city,1,18.71608,0,0,0,0.0,5343,False,False
26,2020-06-21,43,MS,Amambai,5000609,city,9,22.84496,2,0,0,0.0,39396,False,False
26,2020-06-21,27,MS,Anastácio,5000708,city,3,11.93555,0,1,0,0.3333,25135,False,False
26,2020-06-21,13,MS,Angélica,5000856,city,4,37.10575,0,0,0,0.0,10780,False,False
26,2020-06-21,19,MS,Aparecida do Taboado,5001003,city,8,31.07399,0,0,0,0.0,25745,False,False
26,2020-06-21,23,MS,Aquidauana,5001102,city,1,2.08895,0,0,0,0.0,47871,False,False
26,2020-06-21,4,MS,Bandeirantes,5001508,city,2,29.46376,0,0,0,0.0,6788,False,False
26,2020-06-21,63,MS,Bataguassu,5001904,city,21,91.20917,1,0,0,0.0,23024,False,False
26,2020-06-21,87,MS,Batayporã,5002001,city,10,88.26904,0,2,0,0.2,11329,False,False
26,2020-06-21,45,MS,Bela Vista,5002100,city,2,8.12051,0,0,0,0.0,24629,False,False
26,2020-06-21,34,MS,Bodoquena,5002159,city,1,12.69841,0,0,0,0.0,7875,False,False
26,2020-06-21,45,MS,Bonito,5002209,city,66,300.32763,0,0,0,0.0,21976,False,False
26,2020-06-21,48,MS,Brasilândia,5002308,city,16,134.77089,0,2,0,0.125,11872,False,False
26,2020-06-21,30,MS,Caarapó,5002407,city,12,39.76934,0,0,0,0.0,30174,False,False
26,2020-06-21,38,MS,Camapuã,5002605,city,3,21.88024,0,0,0,0.0,13711,False,False
26,2020-06-21,100,MS,Campo Grande,5002704,city,1212,135.27057,70,8,0,0.0066,895982,False,False
26,2020-06-21,13,MS,Caracol,5002803,city,12,196.20667,0,0,0,0.0,6116,False,False
26,2020-06-21,8,MS,Cassilândia,5002902,city,3,13.67428,0,0,0,0.0,21939,False,False
26,2020-06-21,78,MS,Chapadão do Sul,5002951,city,123,487.74685,9,0,0,0.0,25218,False,False
26,2020-06-21,19,MS,Corguinho,5003108,city,1,16.8152,0,0,0,0.0,5947,False,False
26,2020-06-21,76,MS,Corumbá,5003207,city,197,176.78467,6,3,0,0.0152,111435,False,False
26,2020-06-21,23,MS,Costa Rica,5003256,city,23,110.45479,2,0,0,0.0,20823,False,False
26,2020-06-21,70,MS,Coxim,5003306,city,10,29.81248,0,0,0,0.0,33543,False,False
26,2020-06-21,36,MS,Deodápolis,5003454,city,29,224.38873,0,1,0,0.0345,12924,False,False
26,2020-06-21,36,MS,Douradina,5003504,city,92,1553.00473,-1,1,0,0.0109,5924,False,False
26,2020-06-21,86,MS,Dourados,5003702,city,1829,820.36699,22,11,1,0.006,222949,False,False
26,2020-06-21,37,MS,Fátima do Sul,5003801,city,212,1104.79962,2,0,0,0.0,19189,False,False
26,2020-06-21,37,MS,Glória de Dourados,5004007,city,18,180.63221,0,0,0,0.0,9965,False,False
26,2020-06-21,48,MS,Guia Lopes da Laguna,5004106,city,253,2556.84689,1,1,1,0.004,9895,False,False
26,2020-06-21,13,MS,Iguatemi,5004304,city,7,43.53775,2,1,0,0.1429,16078,False,False
26,2020-06-21,6,MS,Inocência,5004403,city,0,,0,0,0,0.0,7610,False,False
26,2020-06-21,35,MS,Itaporã,5004502,city,95,382.46306,0,3,0,0.0316,24839,False,False
26,2020-06-21,24,MS,Itaquiraí,5004601,city,13,61.48898,0,1,0,0.0769,21142,False,False
26,2020-06-21,28,MS,Ivinhema,5004700,city,25,107.81904,0,0,0,0.0,23187,False,False
26,2020-06-21,46,MS,Jardim,5005004,city,49,187.76105,0,0,0,0.0,26097,False,False
26,2020-06-21,50,MS,Jateí,5005103,city,1,24.83238,0,0,0,0.0,4027,False,False
26,2020-06-21,5,MS,Juti,5005152,city,2,29.79738,0,0,0,0.0,6712,False,False
26,2020-06-21,65,MS,Ladário,5005202,city,26,111.43972,0,0,0,0.0,23331,False,False
26,2020-06-21,20,MS,Laguna Carapã,5005251,city,2,27.24424,0,0,0,0.0,7341,False,False
26,2020-06-21,27,MS,Maracaju,5005400,city,18,38.23036,2,0,0,0.0,47083,False,False
26,2020-06-21,67,MS,Miranda,5005608,city,2,7.13954,0,0,0,0.0,28013,False,False
26,2020-06-21,66,MS,Mundo Novo,5005681,city,33,179.67984,3,0,0,0.0,18366,False,False
26,2020-06-21,71,MS,Naviraí,5005707,city,73,133.02234,7,0,0,0.0,54878,False,False
26,2020-06-21,30,MS,Nova Alvorada do Sul,5006002,city,8,36.55973,2,0,0,0.0,21882,False,False
26,2020-06-21,83,MS,Nova Andradina,5006200,city,22,40.46051,1,0,0,0.0,54374,False,False
26,2020-06-21,11,MS,Novo Horizonte do Sul,5006259,city,8,209.75354,0,0,0,0.0,3814,False,False
26,2020-06-21,65,MS,Paraíso das Águas,5006275,city,5,90.009,-1,0,0,0.0,5555,False,False
26,2020-06-21,72,MS,Paranaíba,5006309,city,116,275.22065,0,2,0,0.0172,42148,False,False
26,2020-06-21,38,MS,Paranhos,5006358,city,1,7.02839,0,0,0,0.0,14228,False,False
26,2020-06-21,93,MS,Ponta Porã,5006606,city,82,88.62374,5,1,0,0.0122,92526,False,False
26,2020-06-21,29,MS,Porto Murtinho,5006903,city,0,,0,0,0,0.0,17131,False,False
26,2020-06-21,45,MS,Ribas do Rio Pardo,5007109,city,11,44.6882,0,0,0,0.0,24615,False,False
26,2020-06-21,31,MS,Rio Brilhante,5007208,city,207,551.794,12,2,0,0.0097,37514,False,False
26,2020-06-21,2,MS,Rio Negro,5007307,city,0,,-1,0,0,0.0,4831,False,False
26,2020-06-21,87,MS,Rio Verde de Mato Grosso,5007406,city,7,35.45022,0,0,0,0.0,19746,False,False
26,2020-06-21,4,MS,Rochedo,5007505,city,3,54.55537,0,0,0,0.0,5499,False,False
26,2020-06-21,44,MS,São Gabriel do Oeste,5007695,city,80,298.83082,5,0,0,0.0,26771,False,False
26,2020-06-21,65,MS,Selvíria,5007802,city,1,15.31628,0,0,0,0.0,6529,False,False
26,2020-06-21,95,MS,Sidrolândia,5007901,city,11,19.0757,0,1,0,0.0909,57665,False,False
26,2020-06-21,76,MS,Sonora,5007935,city,27,140.08509,0,0,0,0.0,19274,False,False
26,2020-06-21,40,MS,Tacuru,5007950,city,4,34.62604,1,0,0,0.0,11552,False,False
26,2020-06-21,30,MS,Taquarussu,5007976,city,1,27.87068,0,0,0,0.0,3588,False,False
26,2020-06-21,16,MS,Terenos,5008008,city,2,9.17179,0,0,0,0.0,21806,False,False
26,2020-06-21,82,MS,Três Lagoas,5008305,city,215,177.118,2,5,0,0.0233,121388,False,False
26,2020-06-21,41,MS,Vicentina,5008404,city,55,901.34382,0,1,0,0.0182,6102,False,False
26,2020-06-21,100,MS,,50,state,5391,193.99162,154,47,2,0.0087,2778986,False,False
25,2020-06-20,26,MS,Água Clara,5000203,city,6,38.65481,0,0,0,0.0,15522,False,False
25,2020-06-20,82,MS,Alcinópolis,5000252,city,1,18.71608,0,0,0,0.0,5343,False,False
25,2020-06-20,42,MS,Amambai,5000609,city,7,17.7683,0,0,0,0.0,39396,False,False
25,2020-06-20,26,MS,Anastácio,5000708,city,3,11.93555,0,1,0,0.3333,25135,False,False
25,2020-06-20,12,MS,Angélica,5000856,city,4,37.10575,0,0,0,0.0,10780,False,False
25,2020-06-20,18,MS,Aparecida do Taboado,5001003,city,8,31.07399,0,0,0,0.0,25745,False,False
25,2020-06-20,22,MS,Aquidauana,5001102,city,1,2.08895,0,0,0,0.0,47871,False,False
25,2020-06-20,3,MS,Bandeirantes,5001508,city,2,29.46376,0,0,0,0.0,6788,False,False
25,2020-06-20,62,MS,Bataguassu,5001904,city,20,86.86588,0,0,0,0.0,23024,False,False
25,2020-06-20,86,MS,Batayporã,5002001,city,10,88.26904,1,2,0,0.2,11329,False,False
